Freq [Hz],S [dB],R [dB],T [dB],H1 [dB],H2 [dB],K1 [dB],K2 [dB]
10.0,-91.919,-77.691,-97.601,-185.09,-3.8906,-260.51,-3.6778
20.0,-128.51,-105.98,-133.41,-217.34,-12.617,-292.65,-6.1471
30.0,-150.05,-122.46,-157.86,-220.33,-11.612,-211.26,-14.946
40.0,-173.09,-129.93,-174.19,-201.55,-20.059,-183.08,-47.636
50.0,-162.33,-129.51,-158.97,-155.43,-64.281,-100.28,-96.809
60.0,-141.16,-119.82,-193.44,-83.405,-119.6,-100.7,-96.107
70.0,-115.75,-104.04,-191.36,-54.457,-148.16,-98.531,-157.24
80.0,-105.4,-107.52,-154.46,-15.866,-153.16,-111.48,-198.27
90.0,-88.224,-121.26,-134.05,-7.3681,-163.82,-79.845,-143.85
100.0,-72.007,-84.519,-116.57,-28.356,-165.83,-48.78,-159.56
110.0,-18.937,-65.582,-99.799,-10.592,-151.0,-22.907,-145.45
120.0,-20.548,-62.142,-90.701,-0.7619,-141.98,-19.179,-114.73
130.0,-21.261,-89.706,-98.592,-3.7856,-112.71,-4.8339,-71.68
140.0,-19.918,-84.166,-88.671,-5.5461,-88.671,-8.2441,-60.087
150.0,-17.813,-79.817,-69.109,-8.1006,-48.747,-19.119,-61.832
